N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
186,TIGER TOP10,"13,460",75,-0.55%,0,"14,005","104,050",0.24,"182,914",N/A,N/A,
187,한일시멘트,"20,150","1,800",-8.20%,500,"13,956","69,262",2.70,"543,050",11.59,N/A,
188,아이에스동서,"44,500","1,600",-3.47%,500,"13,747","30,893",4.47,"79,964",12.69,10.92,
189,TIGER 2차전지테마,"22,910",120,+0.53%,0,"13,677","59,700",1.17,"1,236,971",N/A,N/A,
190,롯데리츠,"5,600",20,-0.36%,500,"13,606","242,969",9.88,"77,997",70.89,1.68,
191,종근당,"119,000","1,000",-0.83%,"2,500","13,597","11,426",7.89,"15,350",15.98,17.88,
192,녹십자홀딩스,"28,750",650,-2.21%,500,"13,521","47,028",5.48,"51,497",8.87,19.74,
193,코스맥스,"119,000","3,500",-2.86%,500,"13,506","11,350",24.03,"35,722",27.57,6.23,
194,프레스티지바이오파마,"22,350","1,050",-4.49%,0,"13,431","60,096",63.38,"224,473",-157.39,-1.78,
195,DL,"63,700","1,600",-2.45%,"5,000","13,349","20,956",13.09,"98,563",2.06,11.84,
196,지누스,"84,000","3,400",+4.22%,500,"13,272","15,800",20.75,"112,085",35.09,11.61,
197,솔루엠,"26,450",350,-1.31%,500,"13,226","50,006",8.54,"163,317",49.26,43.26,
198,코스모신소재,"43,750",900,+2.10%,"1,000","13,163","30,087",6.10,"587,279",69.33,7.16,
199,PI첨단소재,"44,700",950,-2.08%,500,"13,127","29,366",17.09,"107,982",24.05,15.62,
200,LG생활건강우,"624,000","12,000",-1.89%,"5,000","13,102","2,100",84.30,990,13.10,N/A,
